"intercept","loc","studyName","block","geno","Test_weight","Grain_Yield","Plant_height"
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","1","CO11D1657",695,3366,77.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","1","CO11D1654",724.5,3520.5,72
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","1","CO11D1665",728.5,3103.5,74
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","1","CO11D1656",717.5,2750.5,75
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","1","NH13415",741,3739,81
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","1","NH13606",707.5,3470,77
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","1","CO11D1431",744.5,4072,79
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","1","CO11D1414",712,3742.5,84
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","1","CO11D1409",734.5,3524,87
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","1","CO11D1418",769,4307,77
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","2","NW13596",719,3789.5,88
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","2","NW13559",710.5,4079,82
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","2","NW13526",750,3584.5,80
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","2","NW13455",730.5,3816.5,83.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","2","NE13628",730.5,3204.5,82
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","2","NE13449",710,3225,76.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","2","15_18",736,3382.5,81
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","2","15_44",722.5,3063.5,81
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","2","GOODSYN8",691.5,2703.5,99
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","2","GOODSYN5",688,2313.5,98.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","3","4_19",737,3235,77
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","3","4_12",701,3406.5,81
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","3","NH13693",712,3379,90
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","3","NH13692",722,3796.5,99
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","3","NW13666",705.5,3383,65
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","3","NW13536",741.5,3941,72.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","3","GOODSYN61",714.5,1704.5,83
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","3","GOODSYN62",709,1772,86
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","3","NE13660",699,3325.5,85
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","3","NE13655",680.5,1560,93
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","6","NE12568",710,2363.5,81
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","6","NE12571",740.5,3732.5,89
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","6","GOODSYN17",727.5,2613,103
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","6","GOODSYN12",740,2717,95
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","6","NE13627",675,3309,81
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","6","NE13556",711,2824.5,93
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","6","CO11D1312",718,4176,82.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","6","CO11D1302W",745.5,3567.5,81
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","6","CO11D1287",713.5,3315,83
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","6","CO11D1298",700,3299,84.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","7","14_2",751.5,3995,82
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","7","14_65",741,4368,88.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","7","14_23",705,3820,80
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","7","14_10",726.5,4146,81
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","7","14_83",735,4149.5,84
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","7","14_66",719.5,3692,81.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","7","14_88",746,3961,83
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","7","14_71",737.5,4526,80
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","7","14_22",708.5,3655,81
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","7","14_31",738,4196.5,76
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","8","NW13457",740,3299,80
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","8","NW13615",680.5,3362.5,82
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","8","NE06545",702.5,3756,83
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","8","CO11D1140",705.5,3473.5,82
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","8","CO11D1156",723.5,3406.5,85.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","8","CO11D1159",733,3675.5,82.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","8","CO11D1647",721.5,3813,77
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","8","CO11D1644",735.5,2754,79
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","8","CO11D1642",722,2676.5,79
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","8","CO11D1645",726.5,3140.5,78.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","9","NE13695",724.5,3178,93.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","9","NE13625",724.5,4068.5,89
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","9","NW13575",734.5,3564.5,84
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","9","NW13502",718.5,3524,83
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","9","NE13700",698,3218,90
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","9","NE13589",716.5,3695.5,85.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","9","CO11D1236",741,4684,86
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","9","CO11D1240",698.5,2955.5,69
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","9","CO11D1268",760,4216.5,77.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","9","CO11D1248",760.5,4179.5,90
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","10","GOODSYN23",717,2979,100
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","10","GOODSYN28",687,2989.5,99
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","10","NE13637",687,2932,79
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","10","NE13607",694.5,4008,82
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","10","NE13571",724.5,3006,87
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","10","NE13498",756.5,3090,86
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","10","NE13593",721.5,3453,85
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","10","NE13680",704.5,2821.5,93
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","10","NE13441",711.5,3652,90
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","10","NE13638",672,3510.5,84
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","11","GOODSYN88",724.5,2700,92
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","11","GOODSYN82",735,2925.5,90
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","11","CO11D1758W",725,3036.5,79
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","11","CO11D1799",720.5,3285,76
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","11","CO11D1789",691,2455,79
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","11","CO11D1767",699,3234.5,77
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","11","CO11D1555W",709,3621.5,80.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","11","CO11D1600W",723,3571,80
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","11","CO11D1559",737,3224.5,78
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","11","CO11D1584",731.5,2858,83
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","12","NW13516",700,3255,75
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","12","NW13563",699,3251.5,75
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","12","NE13522",710,2999.5,78
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","12","NE13639",702,3517,86
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","12","CO11D1380",707,3524,83.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","12","CO11D1371",760,3423,85
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","12","CO11D1353",732.5,3793,87
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","12","CO11D1397",727.5,3426.5,77.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","13","GOODSYN35",721,2821.5,95
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","13","GOODSYN37",657,1496,94.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","13","CO11D1543",731.5,3349,91
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","13","CO11D1542",714,4136,86
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","13","CO11D1545",728.5,3927.5,84
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","13","CO11D1539",713,4119,88
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","13","CO11D1631",694,3090,80
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","13","CO11D1620",686.5,3571,77
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","13","CO11D1615",719.5,3372.5,75
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","13","CO11D1633",702.5,3130.5,83
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","14","CO11D1316W",711,3188,75.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","14","CO11D1341",736.5,3789.5,78
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","14","CO11D1315W",691.5,3009.5,72
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","14","CO11D1322",699,2700,76
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","14","NW13499",736.5,3624.5,92
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","14","NW13572",713,3614.5,93
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","14","CO11D1182",757,3867,79
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","14","CO11D1174",707,3225,83
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","14","CO11D1190",746.5,3806.5,82
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","14","CO11D1186",719.5,3147.5,80
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","15","HW_155",679,3100.5,86.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","15","HW_175",683.5,3409.5,79
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","15","HW_182",681.5,3638.5,78
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","15","HW_261",683.5,3722.5,79
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","15","HW_246",660.5,2915.5,85.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","15","HW_240",695,3661.5,83
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","15","HW_29",651,2330,84.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","15","HW_266",687.5,3460,77
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","15","HW_237",673,3540.5,75.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","15","HW_132",643.5,2545.5,86
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","16","HW_44",711.5,4099,79
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","16","HW_267",644,3393,86.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","16","HW_37",676,3319,76
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","16","HW_141",666.5,2935.5,74
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","16","HW_133",648,3056.5,76
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","16","HW_256",684,3510.5,80
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","16","HW_124",688.5,3540.5,83.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","16","HW_174",684,3440,82
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","16","HW_83",268.5,1345,81.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","16","HW_98",670.5,3312.5,74
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","17","CO11D1213",720.5,3389.5,79.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","17","CO11D1231",684.5,3043,82
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","17","CO11D1219",714.5,3003,85.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","17","CO11D1221",694.5,3685,78
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","17","CO11D1111",722,3396,80
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","17","CO11D1127",739.5,3019.5,82
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","17","CO11D1125",704.5,3840,86
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","17","CO11D1119",674.5,2901.5,79.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","18","7_86",714,3137.5,76
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","18","7_11",718.5,4069,82
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","18","7_140",715.5,3806.5,80
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","18","7_61",751,3702,79
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","18","7_9",721,2858,83
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","18","7_55",698,3746,90
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","18","7_105",713,3412.5,80
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","18","7_45",723.5,3689,79
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","18","7_101",735,3927.5,83
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","18","7_29",697,3248.5,87.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","19","NE13510",719.5,3379.5,76
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","19","NE13470",702.5,4149.5,75
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","19","GOODSYN43",697,2273,91
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","19","GOODSYN44",713.5,2959,100
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","19","GOODSYN80",696,2155.5,92
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","19","GOODSYN72",684.5,2343.5,92
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","19","CO11D1686",638,3423,74
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","19","CO11D1731",713,2824.5,73
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","19","CO11D1746",681.5,2609.5,83
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","19","CO11D1715",718.5,3433,81.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","20","NE13630",642,2807.5,71
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","20","NE13412",737,2377,78
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","20","NE13698",709,3957.5,80
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","20","NE13697",712,3846.5,85.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","20","NE13407",705.5,2596,73
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","20","NE13417",727,2310,78
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","20","NW13652",723.5,3299,90
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","20","NW13669",705,3678.5,83.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","20","GOODSYN51",688,1856,82.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","20","GOODSYN58",657.5,1513,91
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","21","TX1112_105",765,2972.5,86
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","21","TX1112_108",749,2935.5,82.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","21","TX1112_11",737,3033,77
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","21","TX1112_122",746,3544,82
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","21","TX1112_87",744,3423,80
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","21","TX1112_65",731.5,3352.5,83
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","21","TX1112_48",741,3584.5,83
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","21","TX1112_52",711.5,3614.5,78
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","21","TX1112_46",719.5,2821.5,70
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","21","TX1112_111",687.5,3077,85
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","21","CT110",665,2111.5,76
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","21","CT237",704.5,2495,68
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","21","CT185",728,3241.5,78
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","21","CT194",686,3470,72
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","21","CT135",701,2586,74
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","21","CT64",687.5,2471.5,70
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","21","CT224",694,1903,75
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","21","CT69",743,3379.5,88
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","21","CT199",692.5,2851.5,79
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","21","CT30",669,1681,69
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","22","TX1112_119",746,3174,84
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","22","TX1112_115",750.5,3470,82
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","22","TX1112_69",702.5,2706.5,82
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","22","TX1112_63",739,3231.5,76
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","22","TX1112_123",748.5,3302,85
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","22","TX1112_113",742.5,3009,72
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","22","TX1112_67",740,3137,89
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","22","TX1112_10",750.5,3087,80
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","22","TX1112_112",761,2935.5,81
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","22","TX1112_124",759.5,3373,76
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","22","CT103",699.5,2969,70
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","22","CT111",710,3238,75
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","22","CT112",702,2004,75
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","22","CT154",676,1705,69
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","22","CT125",692,2949,78
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","22","CT38",685.5,3029.5,82
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","22","CT213",720.5,3322.5,81
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","22","CT95",733,3544,74.5
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","22","CT115",703.5,2609.5,75
1,"Clay Center, NE","YldQtl-Val_2014_ClayCenter","22","CT163",625,1896.5,73
1,"Ithaca, NE","YldQtl-Val_2014_Mead","1","NE12568",72.21983939,2585.5,75
1,"Ithaca, NE","YldQtl-Val_2014_Mead","1","NE12571",65.71983939,4018.5,83.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","1","NW13455",NA,4549.5,91
1,"Ithaca, NE","YldQtl-Val_2014_Mead","1","NW13526",64.84464068,3604.5,82
1,"Ithaca, NE","YldQtl-Val_2014_Mead","1","GOODSYN23",69.0256829,3776,112
1,"Ithaca, NE","YldQtl-Val_2014_Mead","1","GOODSYN28",62.5256829,4226.5,101.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","1","CO11D1140",64.81884732,3463.5,83
1,"Ithaca, NE","YldQtl-Val_2014_Mead","1","CO11D1156",33.31884732,5104,81.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","1","NE06545",NA,NA,80
1,"Ithaca, NE","YldQtl-Val_2014_Mead","1","CO11D1159",39.31884732,4509,83.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","2","NE13660",NA,3540.5,86
1,"Ithaca, NE","YldQtl-Val_2014_Mead","2","NE13655",66.71734068,2269.5,102
1,"Ithaca, NE","YldQtl-Val_2014_Mead","2","NE13449",94.13219849,3372.5,83
1,"Ithaca, NE","YldQtl-Val_2014_Mead","2","NE13628",61.63219849,3184,89.5
